"Pipeline Direction","Deal Name","MRR","MRR","Deal ID"
"Inbound","Templeton Law Firm - New Deal","4375","4375","57350748198"
"Inbound","Lorenz Law Deal","10000","10000","49646652279"
"Inbound","Jesus R Gonzalez PA Deal","5000","5000","52439571603"
"Inbound","Florida Probate Law Firm, PLLC Deal","10000","10000","53275307921"
"Inbound","Kapuza Lighty Accident Injury Lawyers Deal","7500","7500","54331546205"
"Inbound","J. Price McNamara - New Deal","7500","7500","59369350455"
"Inbound","Law Bear - New Deal","50000","50000","55475222287"
"Inbound","Shapiro Delgado Deal","10000","10000","53413194080"
"Inbound","Leeson & Leeson - New Deal","5000","5000","58479508399"
"Inbound","Cardoso Law - New Deal","10000","10000","57669058219"
"Inbound","Onal Gallant - New Deal","7500","7500","57200737095"
"Inbound","Kennedy Watkins - New Deal","18875","18875","51831996849"
"Inbound","Brown & Crouppen, P.C. - Social Media Deal ","3000","3000","54010930076"
"Inbound","Kayla's Survivors  - New Deal","15000","15000","58208828026"
"Inbound","Hipskind & McAninch - New Deal","9000","9000","59369492324"
"Inbound","Sloane Law Firm Deal","7500","7500","51558312294"
"Inbound","Buckman, Tuinstra & Brown PC - New Deal","5000","5000","42657492767"
"Inbound","Law Offices Of George Salinas - New Deal","20000","20000","58404310932"
"Inbound","Fernandez Firm - New Deal","10000","10000","51443009099"
"Inbound","Erez Law Deal","10000","10000","45315296843"
"Inbound","Mizrahi Kroub LLP - New Deal","5000","5000","58208301937"
"Inbound","Braker White - New Deal","7875","7875","55978755699"
"Inbound","The Law Office of Nathaniel Gilbert, PLLC Deal","5000","5000","53752670629"
"Inbound","Mickey Keenan PA - New Deal","15000","15000","57619344509"
"Inbound","Youngberg Law Firm - New Deal","5000","5000","56828821045"
"Inbound","Linder Law LLC Deal ","15000","15000","53266710612"
"Inbound","Sumner Law Group - New Deal","10000","10000","57553715094"
"Inbound","Law Offices of Richard C. McConathy - New Deal","12500","12500","59727994738"
"Inbound","Kirsch & Kirsch, LLC - Local SEO + LSA","3000","3000","57506898707"
"Inbound","Abramson Labor Group - New Deal","10000","10000","58029828166"
"Inbound","Kurta Law - New Deal","5000","5000","59418296876"
"Inbound","Havens & Associates, PLLC - New Deal","2000","2000","57663745895"
"Inbound","Gonzalez & Havens Valor Law Firm - Website Only Deal","375","375","55475383565"
"Inbound","Berger & Hicks, P.A. - New Deal","3000","3000","57856241668"
"Inbound","Team Green Law - New Deal","10000","10000","57553720690"
"Inbound","Ory Law Group Deal","5375","5375","54109523103"
"Inbound","Wagners Law Firm - New Deal","10000","10000","58479656527"
"Inbound","Jesus R Gonzalez PA - Website Only Deal","0","0","55922563994"
"Inbound","Power Trial Lawyers - PPC Only Deal","3000","3000","47747719508"
"Inbound","No Clients Left Behind Deal","10000","10000","48852571408"
"Outbound","Whitley Law Firm - New Deal","35000","35000","21899828779"
"Outbound","Wiggam Law - Website & SEO Deal","5375","5375","51633417079"
"Outbound","Bush Injury Law - New Deal","5000","5000","53466541958"
"Outbound","ROSENBLUM ALLEN LAW FIRM Deal","7875","7875","52111437128"
"Outbound","BROWN & BARRON LLC Deal","20375","20375","52380682825"
"Outbound","MCV Law - New Deal","7500","7500","36080070203"
"Outbound","Legler Murphy Battaglia - New Deal","15000","15000","59153655976"
"Outbound","Felice Trial Attorneys - New Deal","15000","15000","55030982694"
"Outbound","Christensen Law Offices - New Deal","15000","15000","59018086426"
"Outbound","Ty Robinson Personal Injury & Car Accident Law Firm - New Deal","10375","10375","46709527688"
"Outbound","Bogin Munns & Munns Attorneys - New Deal","20000","20000","39015461279"
"Outbound","Glotzer & Leib - New Deal","10000","10000","29909543606"
"Outbound","Connell Law Firm, LLC - New Deal","8000","8000","35830661704"
